division,date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,race_id
region,2022-11-28,12:55発走,水沢,6,7,ホウショウエポック,43.899237559154514,9.0,,202236112806
region,2022-11-28,12:55発走,水沢,6,10,マツリダインゴット,41.90769696412295,10.0,,202236112806
region,2022-11-28,12:55発走,水沢,6,6,ユリアンナ,37.81999212083399,11.0,,202236112806
region,2022-11-28,13:10発走,金沢,5,4,ミイヒダンサー,66.91191858975338,1.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,2,スマートメソッド,63.839129160587596,2.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,10,リヴァーサル,52.03204323713673,3.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,7,シルバーテゾロ,51.80152721872558,4.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,8,スタービート,51.09597309691435,5.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,1,ビッグクロワール,48.233019048118,6.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,5,カジノノーブル,44.64857693922149,7.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,6,イーゼル,42.810274251891414,8.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,9,インパクロ,41.25394135532056,9.0,,202246112805
region,2022-11-28,13:10発走,金沢,5,3,パピードッグ,37.37359710233041,10.0,,202246112805
region,2022-11-28,13:30発走,水沢,7,3,ベルベリス,64.54876373541387,1.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,7,ガーレ,63.93729643459007,2.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,1,コスモピエドラ,54.76109521253584,3.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,8,フレンドジェイ,53.9886488781275,4.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,4,レッツゴーゲレイロ,52.50422920845979,5.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,11,ビバリークイーン,49.49343187916119,6.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,2,ナイトアルニラム,48.76846559369674,7.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,9,マニカルニカ,41.896600383749245,8.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,5,スワンダフル,41.640333033267424,9.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,10,ファッシネイター,40.51748054591358,10.0,,202236112807
region,2022-11-28,13:30発走,水沢,7,6,キーポジション,37.943655095084594,11.0,,202236112807
region,2022-11-28,13:50発走,金沢,6,5,タートザッヘ,65.888715449536,1.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,6,タマテバコ,64.15163973776534,2.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,3,ラブリースマッシュ,57.64287123628037,3.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,4,テキーラサンライズ,51.35247512890978,4.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,10,ザガーロ,46.67520328269593,5.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,2,カトリーヌアエラス,45.50186865454204,6.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,1,モーニングサクラ,44.595983017607196,7.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,9,コスモクウ,44.584417492934634,8.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,7,エクメディレーザー,41.8364434902021,9.0,,202246112806
region,2022-11-28,13:50発走,金沢,6,8,フォートワズワース,37.77038250952607,10.0,,202246112806
region,2022-11-28,14:05発走,水沢,8,8,ノボユキ,59.20390294998151,1.0,,202236112808
